provider,category,uuid,dimension_a,dimension_b,price,weight,material,finishing,palette,main_color,main_color_frequency,img_info_percentage
made,sofa,14d933ac-fbb2-497b-99d5-c1eaa1aa448f,23.11,31.62,29.9,0.56,marble,matt,"[array([57.  , 52.  , 46.  ,  0.15]), array([112. , 104. ,  94. ,   0.2]), array([1.57e+02, 1.48e+02, 1.39e+02, 1.30e-01]), array([192.  , 188.  , 182.  ,   0.22]), array([221.  , 218.  , 214.  ,   0.29])]",[221. 218. 214.],0.29,0.998
made,sofa,5678b8c3-051f-4a75-b2e5-4306d5e9f7ba,29.55,9.03,11.58,0.84,porcelain,matt,"[array([57.  , 53.  , 23.  ,  0.12]), array([104.  ,  93.  ,  43.  ,   0.42]), array([140.  , 126.  ,  63.  ,   0.22]), array([1.50e+02, 1.49e+02, 1.43e+02, 9.00e-02]), array([2.31e+02, 2.31e+02, 2.29e+02, 1.50e-01])]",[104.  93.  43.],0.42,0.9940000000000001
made,sofa,d7075814-87c5-4147-9a72-72171b84131c,32.05,29.8,62.65,1.63,ceramic,gloss,"[array([43.  , 42.  , 43.  ,  0.27]), array([116.  , 114.  , 115.  ,   0.13]), array([150.  , 149.  , 149.  ,   0.41]), array([2.00e+02, 1.99e+02, 1.99e+02, 5.00e-02]), array([2.45e+02, 2.45e+02, 2.45e+02, 1.30e-01])]",[150. 149. 149.],0.41,0.99
made,sofa,52a96b2a-8e61-48b6-ab8d-7f451c923572,35.51,38.29,36.77,1.11,wood,matt,"[array([9.3e+01, 6.1e+01, 5.2e+01, 5.0e-02]), array([159.  , 118.  , 106.  ,   0.19]), array([176.  , 145.  , 135.  ,   0.38]), array([195.  , 171.  , 163.  ,   0.25]), array([2.39e+02, 2.39e+02, 2.38e+02, 1.30e-01])]",[176. 145. 135.],0.38,0.996
made,sofa,6885f626-7a09-4370-880b-5ec09782b372,20.2,8.02,22.79,1.3,ceramic,matt,"[array([8.8e+01, 5.6e+01, 1.6e+01, 5.0e-02]), array([160.  , 110.  ,  20.  ,   0.42]), array([194.  , 149.  ,  60.  ,   0.28]), array([1.70e+02, 1.67e+02, 1.62e+02, 9.00e-02]), array([2.39e+02, 2.39e+02, 2.37e+02, 1.60e-01])]",[160. 110.  20.],0.42,0.996
made,sofa,5fcf3f41-ceeb-4304-8ceb-82ebf0763359,20.6,33.1,35.55,0.66,ceramic,matt,"[array([85.  , 80.  , 85.  ,  0.25]), array([133.  , 129.  , 131.  ,   0.19]), array([1.95e+02, 1.95e+02, 1.95e+02, 1.30e-01]), array([228.  , 228.  , 228.  ,   0.34]), array([2.49e+02, 2.49e+02, 2.49e+02, 9.00e-02])]",[228. 228. 228.],0.34,0.997
made,sofa,bfdb85f6-2f5f-448a-9123-08e91c4ead64,31.66,11.31,27.76,0.68,stone,matt,"[array([39.  , 39.  , 37.  ,  0.22]), array([60.  , 60.  , 58.  ,  0.41]), array([78.  , 78.  , 76.  ,  0.21]), array([1.73e+02, 1.73e+02, 1.72e+02, 5.00e-02]), array([2.42e+02, 2.42e+02, 2.42e+02, 1.10e-01])]",[60. 60. 58.],0.41,0.995
made,sofa,2c67f728-3f54-494a-8a39-572c2ffeb489,29.31,20.88,26.81,0.97,granite,gloss,"[array([40. , 60. , 61. ,  0.2]), array([67.  , 86.  , 86.  ,  0.35]), array([ 89.  , 109.  , 108.  ,   0.25]), array([1.34e+02, 1.51e+02, 1.51e+02, 1.20e-01]), array([2.42e+02, 2.44e+02, 2.44e+02, 8.00e-02])]",[67. 86. 86.],0.35,0.986
made,sofa,c868932d-ee2b-488d-9719-f63127e693a3,35.26,22.81,39.93,0.98,granite,matt,"[array([1.0e+02, 9.6e+01, 9.5e+01, 2.0e-02]), array([1.37e+02, 1.34e+02, 1.33e+02, 1.20e-01]), array([160.  , 156.  , 155.  ,   0.23]), array([1.79e+02, 1.76e+02, 1.75e+02, 1.40e-01]), array([232.  , 232.  , 232.  ,   0.49])]",[232. 232. 232.],0.49,0.997
made,sofa,21691be6-400c-486f-bd9d-e00c58d04bfc,17.22,27.99,47.92,0.68,porcelain,matt,"[array([8.3e+01, 4.5e+01, 1.6e+01, 7.0e-02]), array([132.  ,  85.  ,  47.  ,   0.39]), array([155.  , 109.  ,  70.  ,   0.32]), array([1.84e+02, 1.81e+02, 1.78e+02, 9.00e-02]), array([2.43e+02, 2.42e+02, 2.41e+02, 1.30e-01])]",[132.  85.  47.],0.39,0.996
made,sofa,07ecae0e-c3d5-4e6f-844c-a638f4e09539,16.57,35.0,16.24,0.89,terracotta,gloss,"[array([70.  , 65.  , 64.  ,  0.11]), array([1.3e+02, 1.3e+02, 1.3e+02, 1.1e-01]), array([167.  , 167.  , 167.  ,   0.34]), array([1.92e+02, 1.92e+02, 1.92e+02, 1.70e-01]), array([230.  , 230.  , 230.  ,   0.28])]",[167. 167. 167.],0.34,0.997
made,sofa,f0dd261f-a1f0-458f-9933-661e6091da36,27.11,10.11,14.15,1.42,limestone,gloss,"[array([26.  , 14.  ,  9.  ,  0.07]), array([59.  , 46.  , 35.  ,  0.26]), array([87.  , 73.  , 61.  ,  0.32]), array([1.85e+02, 1.85e+02, 1.85e+02, 1.20e-01]), array([2.45e+02, 2.45e+02, 2.44e+02, 2.30e-01])]",[87. 73. 61.],0.32,0.997
made,sofa,f9b063a6-c95d-4a7f-b85a-1a88e2389f88,12.09,15.66,33.87,0.49,granite,gloss,"[array([22.  , 28.  , 33.  ,  0.08]), array([54.  , 61.  , 68.  ,  0.17]), array([73.  , 82.  , 89.  ,  0.59]), array([1.70e+02, 1.72e+02, 1.75e+02, 2.00e-02]), array([2.46e+02, 2.46e+02, 2.46e+02, 1.40e-01])]",[73. 82. 89.],0.59,0.995
made,sofa,6e194924-78f8-44c2-a331-895b77c96094,35.39,43.74,36.06,0.8,limestone,gloss,"[array([5.1e+01, 4.9e+01, 5.2e+01, 2.0e-02]), array([134.  , 133.  , 138.  ,   0.21]), array([1.82e+02, 1.81e+02, 1.82e+02, 4.00e-02]), array([230.  , 230.  , 230.  ,   0.49]), array([2.46e+02, 2.46e+02, 2.46e+02, 2.30e-01])]",[230. 230. 230.],0.49,0.997
made,sofa,42099848-569d-418b-884b-29993b0318ca,11.46,16.76,34.63,1.34,terracotta,gloss,"[array([120.  ,  88.  ,  35.  ,   0.34]), array([152.  , 125.  ,  76.  ,   0.21]), array([194.  , 175.  , 127.  ,   0.22]), array([1.99e+02, 1.96e+02, 1.91e+02, 1.00e-01]), array([2.41e+02, 2.41e+02, 2.39e+02, 1.30e-01])]",[120.  88.  35.],0.34,0.996
made,sofa,5ac22a12-3b5a-45af-9d2d-21cd065efe11,35.29,24.46,30.05,1.52,ceramic,matt,"[array([4.5e+01, 4.2e+01, 4.0e+01, 1.0e-02]), array([1.75e+02, 1.38e+02, 6.10e+01, 1.40e-01]), array([206.  , 163.  ,  74.  ,   0.66]), array([2.22e+02, 1.86e+02, 1.08e+02, 1.40e-01]), array([2.47e+02, 2.42e+02, 2.27e+02, 5.00e-02])]",[206. 163.  74.],0.66,0.9890000000000001
made,sofa,a93cc254-5835-4fe7-865a-6265ed9ba7be,24.76,10.1,32.5,1.1,stone,matt,"[array([37.  , 46.  , 42.  ,  0.26]), array([ 99.  , 101.  ,  89.  ,   0.18]), array([1.63e+02, 1.60e+02, 1.45e+02, 1.10e-01]), array([2.10e+02, 2.08e+02, 2.05e+02, 1.50e-01]), array([242. , 242. , 242. ,   0.3])]",[242. 242. 242.],0.3,0.998
made,sofa,33802bb1-445c-4c8d-bc8b-5d1a36d20e5a,18.41,19.74,22.34,0.38,terracotta,matt,"[array([141.  ,  62.  , 107.  ,   0.37]), array([1.71e+02, 8.90e+01, 1.34e+02, 6.00e-02]), array([1.84e+02, 1.80e+02, 1.82e+02, 6.00e-02]), array([228.  , 228.  , 228.  ,   0.31]), array([2.45e+02, 2.45e+02, 2.45e+02, 2.00e-01])]",[141.  62. 107.],0.37,0.997
made,sofa,7a5cfb94-8184-4b20-ab16-1a1134b462f1,26.28,27.83,40.78,0.83,terracotta,matt,"[array([38.  , 55.  , 55.  ,  0.06]), array([64.  , 81.  , 81.  ,  0.22]), array([ 86. , 103. , 103. ,   0.5]), array([117.  , 133.  , 133.  ,   0.18]), array([2.28e+02, 2.32e+02, 2.32e+02, 4.00e-02])]",[ 86. 103. 103.],0.5,0.991
made,sofa,2a132684-88d3-4dad-9bb1-c6bddf9646df,11.67,10.42,24.61,0.95,glass,gloss,"[array([7.1e+01, 5.1e+01, 3.5e+01, 5.0e-02]), array([1.32e+02, 1.24e+02, 1.12e+02, 8.00e-02]), array([1.75e+02, 1.68e+02, 1.59e+02, 1.50e-01]), array([204.  , 198.  , 192.  ,   0.28]), array([233.  , 233.  , 232.  ,   0.44])]",[233. 233. 232.],0.44,0.997
made,sofa,68a1476b-41e7-4632-aac3-9c791fd5eea6,39.65,26.86,33.9,0.9,quartz,gloss,"[array([10.  , 38.  , 17.  ,  0.41]), array([37.  , 67.  , 44.  ,  0.23]), array([107.  , 131.  , 111.  ,   0.14]), array([1.83e+02, 1.86e+02, 1.84e+02, 5.00e-02]), array([2.45e+02, 2.45e+02, 2.45e+02, 1.70e-01])]",[10. 38. 17.],0.41,0.99
made,sofa,6908f6b8-c697-4f91-bd95-3e0c8752f08a,31.45,20.35,50.7,0.57,porcelain,gloss,"[array([6.7e+01, 5.6e+01, 5.0e+01, 3.0e-02]), array([108.  ,  94.  ,  86.  ,   0.29]), array([127.  , 111.  , 103.  ,   0.21]), array([1.87e+02, 1.86e+02, 1.85e+02, 3.00e-02]), array([233.  , 233.  , 233.  ,   0.44])]",[233. 233. 233.],0.44,0.997
made,sofa,e7110853-9048-4123-87b3-9b72959adce4,20.83,22.33,49.06,0.76,limestone,matt,"[array([68.  , 62.  , 61.  ,  0.08]), array([1.03e+02, 9.70e+01, 9.50e+01, 1.00e-01]), array([1.45e+02, 1.41e+02, 1.40e+02, 1.10e-01]), array([189.  , 185.  , 182.  ,   0.24]), array([231.  , 231.  , 231.  ,   0.47])]",[231. 231. 231.],0.47,0.997
made,sofa,39f94742-4417-4c3c-9e7a-5146eadb6e5a,30.51,18.44,29.01,0.71,porcelain,matt,"[array([8.2e+01, 8.1e+01, 7.7e+01, 2.0e-02]), array([162.  , 125.  ,  44.  ,   0.27]), array([1.57e+02, 1.56e+02, 1.55e+02, 5.00e-02]), array([2.26e+02, 1.95e+02, 1.07e+02, 1.60e-01]), array([233. , 232. , 232. ,   0.5])]",[233. 232. 232.],0.5,0.997
made,sofa,014d3c41-6acd-492a-b95f-23b38c4efddf,29.26,20.0,25.57,0.4,terracotta,matt,"[array([41.  , 27.  , 23.  ,  0.18]), array([64.  , 50.  , 45.  ,  0.18]), array([9.7e+01, 8.5e+01, 8.2e+01, 6.0e-02]), array([1.72e+02, 1.71e+02, 1.70e+02, 6.00e-02]), array([228.  , 228.  , 228.  ,   0.53])]",[228. 228. 228.],0.53,0.997
made,sofa,25ec209f-c280-4d0b-95a3-81cbf05510ec,33.8,28.91,30.58,1.79,glass,gloss,"[array([60.  , 60.  , 60.  ,  0.26]), array([84.  , 84.  , 84.  ,  0.43]), array([1.4e+02, 1.4e+02, 1.4e+02, 7.0e-02]), array([2.01e+02, 2.01e+02, 2.01e+02, 7.00e-02]), array([2.46e+02, 2.46e+02, 2.46e+02, 1.80e-01])]",[84. 84. 84.],0.43,0.996
made,sofa,0ff55e1c-0637-4228-831f-432753c8831f,27.73,24.69,4.93,0.83,glass,matt,"[array([13.  , 17.  , 21.  ,  0.16]), array([40.  , 45.  , 49.  ,  0.73]), array([1.06e+02, 9.50e+01, 8.10e+01, 3.00e-02]), array([1.78e+02, 1.75e+02, 1.71e+02, 2.00e-02]), array([2.44e+02, 2.44e+02, 2.43e+02, 6.00e-02])]",[40. 45. 49.],0.73,0.987
made,sofa,2f42e988-24e6-430f-8ea5-b32e0d51edc2,24.46,18.44,52.1,1.69,stone,matt,"[array([47.  , 44.  , 36.  ,  0.09]), array([1.54e+02, 1.46e+02, 1.35e+02, 1.30e-01]), array([2.08e+02, 1.83e+02, 7.20e+01, 1.70e-01]), array([211.  , 210.  , 207.  ,   0.23]), array([238.  , 239.  , 239.  ,   0.38])]",[238. 239. 239.],0.38,0.998
made,sofa,388af33f-7dcf-4893-9afc-4457d4c321b3,15.46,12.11,44.97,0.87,wood,matt,"[array([85. , 61. , 49. ,  0.3]), array([1.37e+02, 1.17e+02, 9.60e+01, 4.00e-02]), array([1.81e+02, 1.77e+02, 1.70e+02, 6.00e-02]), array([227.  , 227.  , 227.  ,   0.43]), array([2.47e+02, 2.47e+02, 2.47e+02, 1.70e-01])]",[227. 227. 227.],0.43,0.996
made,sofa,916b4283-b695-488a-8ba5-480a1ffc682c,20.99,35.14,48.35,0.61,stone,matt,"[array([54.  , 49.  , 46.  ,  0.34]), array([86.  , 81.  , 79.  ,  0.18]), array([140.  , 137.  , 135.  ,   0.14]), array([1.88e+02, 1.88e+02, 1.88e+02, 5.00e-02]), array([231. , 231. , 231. ,   0.3])]",[54. 49. 46.],0.34,0.997
made,sofa,df85f51d-5a41-4ecc-a5df-4f504931c052,25.48,17.72,24.45,1.21,quartz,gloss,"[array([69.  , 60.  , 56.  ,  0.49]), array([1.0e+02, 9.2e+01, 8.9e+01, 7.0e-02]), array([1.53e+02, 1.50e+02, 1.46e+02, 5.00e-02]), array([1.95e+02, 1.93e+02, 1.92e+02, 4.00e-02]), array([233.  , 233.  , 233.  ,   0.34])]",[69. 60. 56.],0.49,0.997
made,sofa,2b5a352c-f615-49b2-9239-978bb7344ce0,20.3,38.22,21.68,0.72,terracotta,matt,"[array([2.11e+02, 1.64e+02, 8.40e+01, 1.70e-01]), array([225.  , 179.  , 101.  ,   0.24]), array([2.00e+02, 1.97e+02, 1.92e+02, 8.00e-02]), array([226.  , 226.  , 225.  ,   0.33]), array([2.46e+02, 2.45e+02, 2.45e+02, 1.70e-01])]",[226. 226. 225.],0.33,0.997
made,sofa,4cc99831-13d0-4d4f-8f67-f30cff2c24a3,9.66,16.69,10.51,1.32,granite,gloss,"[array([99.  , 93.  , 93.  ,  0.24]), array([112.  , 106.  , 106.  ,   0.26]), array([1.73e+02, 1.70e+02, 1.68e+02, 4.00e-02]), array([228.  , 228.  , 228.  ,   0.33]), array([2.45e+02, 2.45e+02, 2.45e+02, 1.30e-01])]",[228. 228. 228.],0.33,0.997
made,sofa,135844d5-4cc4-44a8-a5b7-235e869d712b,18.95,40.16,29.52,0.89,glass,gloss,"[array([14.  , 26.  , 36.  ,  0.15]), array([43.  , 60.  , 74.  ,  0.48]), array([ 72. ,  89. , 102. ,   0.3]), array([1.56e+02, 1.60e+02, 1.63e+02, 2.00e-02]), array([2.41e+02, 2.42e+02, 2.43e+02, 5.00e-02])]",[43. 60. 74.],0.48,0.995
made,sofa,2e9533a0-6da4-4b64-8f28-c411a2d7ff34,34.83,45.15,10.34,0.26,porcelain,gloss,"[array([1.03e+02, 7.50e+01, 3.30e+01, 3.00e-02]), array([145.  , 117.  ,  59.  ,   0.25]), array([173.  , 147.  ,  83.  ,   0.25]), array([1.79e+02, 1.75e+02, 1.61e+02, 6.00e-02]), array([233.  , 233.  , 232.  ,   0.41])]",[233. 233. 232.],0.41,0.997
made,sofa,96f35a60-e46d-49ba-a569-257ac80f9d0f,14.59,17.12,30.43,0.22,stone,matt,"[array([4.3e+01, 4.1e+01, 4.0e+01, 3.0e-02]), array([105.  , 103.  , 104.  ,   0.37]), array([129.  , 124.  , 122.  ,   0.29]), array([175.  , 161.  , 140.  ,   0.25]), array([2.22e+02, 2.21e+02, 2.21e+02, 8.00e-02])]",[105. 103. 104.],0.37,0.998
made,sofa,77503689-ee76-41f1-b2e4-bd906d3ed981,25.72,10.23,34.06,1.36,quartz,gloss,"[array([38.  , 37.  , 38.  ,  0.14]), array([83.  , 84.  , 86.  ,  0.43]), array([108.  , 109.  , 111.  ,   0.25]), array([1.94e+02, 1.94e+02, 1.95e+02, 1.00e-01]), array([2.41e+02, 2.41e+02, 2.41e+02, 7.00e-02])]",[83. 84. 86.],0.43,0.997
made,sofa,00ae8d99-0f9f-4930-9b44-6df77fc65bfb,19.25,11.12,43.41,1.15,quartz,matt,"[array([1.02e+02, 7.00e+01, 9.00e+00, 3.00e-02]), array([185.  , 140.  ,   6.  ,   0.31]), array([1.65e+02, 1.60e+02, 1.48e+02, 7.00e-02]), array([229.  , 229.  , 228.  ,   0.43]), array([2.47e+02, 2.47e+02, 2.46e+02, 1.70e-01])]",[229. 229. 228.],0.43,0.997
made,sofa,4b0cc3a9-6499-46fa-b8cb-7816d3c1f611,31.46,20.67,32.76,1.03,limestone,gloss,"[array([32.  , 54.  , 66.  ,  0.29]), array([7.90e+01, 1.07e+02, 1.23e+02, 4.00e-02]), array([1.83e+02, 1.84e+02, 1.85e+02, 6.00e-02]), array([230.  , 230.  , 230.  ,   0.44]), array([2.45e+02, 2.45e+02, 2.45e+02, 1.70e-01])]",[230. 230. 230.],0.44,0.997
made,sofa,66cd2999-d66c-47f7-8b25-8db2b88d37ff,36.97,22.31,12.67,0.23,wood,matt,"[array([62.  , 60.  , 64.  ,  0.21]), array([82.  , 81.  , 85.  ,  0.37]), array([104.  , 103.  , 107.  ,   0.26]), array([1.81e+02, 8.60e+01, 5.30e+01, 2.00e-02]), array([2.34e+02, 2.33e+02, 2.33e+02, 1.50e-01])]",[82. 81. 85.],0.37,0.997
made,sofa,1c1f5763-1452-4379-846c-7c34838b00f6,22.57,19.26,42.05,0.54,ceramic,matt,"[array([1.01e+02, 9.80e+01, 9.50e+01, 4.00e-02]), array([166. , 165. , 161. ,   0.2]), array([1.97e+02, 1.97e+02, 1.94e+02, 7.00e-02]), array([231.  , 231.  , 231.  ,   0.52]), array([2.47e+02, 2.47e+02, 2.47e+02, 1.70e-01])]",[231. 231. 231.],0.52,0.997
made,sofa,043e01aa-b23a-454a-aeba-808754068a1f,27.98,44.82,23.23,0.06,wood,matt,"[array([23.  , 36.  , 39.  ,  0.19]), array([43.  , 62.  , 64.  ,  0.41]), array([70.  , 92.  , 94.  ,  0.14]), array([1.67e+02, 1.68e+02, 1.68e+02, 1.10e-01]), array([2.36e+02, 2.36e+02, 2.36e+02, 1.50e-01])]",[43. 62. 64.],0.41,0.996
made,sofa,d2dfcc11-47bc-432f-b7e3-bc747906bb9f,34.2,33.07,43.11,0.7,ceramic,gloss,"[array([6.6e+01, 3.5e+01, 3.2e+01, 5.0e-02]), array([191.  ,  76.  ,  52.  ,   0.47]), array([2.09e+02, 1.07e+02, 8.10e+01, 1.50e-01]), array([2.01e+02, 1.94e+02, 1.92e+02, 9.00e-02]), array([245.  , 244.  , 244.  ,   0.25])]",[191.  76.  52.],0.47,0.995
made,sofa,081fab11-635f-4de9-abaf-8c4348ab9009,29.98,20.08,25.82,0.0,quartz,matt,"[array([8.9e+01, 2.7e+01, 1.5e+01, 3.0e-02]), array([185.  ,  72.  ,  49.  ,   0.29]), array([216.  ,  93.  ,  70.  ,   0.45]), array([2.06e+02, 1.93e+02, 1.86e+02, 9.00e-02]), array([2.44e+02, 2.42e+02, 2.39e+02, 1.40e-01])]",[216.  93.  70.],0.45,0.995
made,sofa,1bd101a2-4a9f-4e7e-8d3b-062853b8ea58,16.72,32.24,11.15,0.4,marble,gloss,"[array([47.  , 42.  , 38.  ,  0.24]), array([73.  , 68.  , 64.  ,  0.47]), array([1.29e+02, 1.29e+02, 1.28e+02, 5.00e-02]), array([1.93e+02, 1.93e+02, 1.93e+02, 6.00e-02]), array([2.44e+02, 2.44e+02, 2.44e+02, 1.80e-01])]",[73. 68. 64.],0.47,0.996
made,sofa,dc51aa72-d499-454a-89ae-9946834954cc,32.9,15.75,47.4,1.77,quartz,matt,"[array([81.  , 66.  , 58.  ,  0.13]), array([152.  ,  60.  ,  28.  ,   0.17]), array([1.84e+02, 1.03e+02, 7.00e+01, 1.50e-01]), array([146.  , 136.  , 127.  ,   0.23]), array([184.  , 176.  , 172.  ,   0.32])]",[184. 176. 172.],0.32,0.9840000000000001
made,sofa,4cdad00a-95c3-4f50-ac81-f92d3fde3f32,33.23,4.13,54.67,0.71,granite,gloss,"[array([50. , 69. , 68. ,  0.3]), array([78.  , 96.  , 96.  ,  0.21]), array([113. , 127. , 127. ,   0.3]), array([1.92e+02, 1.93e+02, 1.93e+02, 7.00e-02]), array([2.43e+02, 2.43e+02, 2.44e+02, 1.20e-01])]",[50. 69. 68.],0.3,0.996
made,sofa,e9dbfd85-2478-404f-91ac-ef2cf03c0832,17.83,26.54,29.69,0.21,glass,gloss,"[array([1.33e+02, 1.23e+02, 1.21e+02, 6.00e-02]), array([181.  , 145.  , 140.  ,   0.36]), array([198.  , 177.  , 175.  ,   0.21]), array([229.  , 228.  , 228.  ,   0.28]), array([2.45e+02, 2.45e+02, 2.45e+02, 1.00e-01])]",[181. 145. 140.],0.36,0.997
made,sofa,ed10bc0a-9b30-43c8-891e-ac6a41b028fa,33.81,32.61,41.46,0.82,terracotta,matt,"[array([53.  , 52.  , 51.  ,  0.07]), array([1.24e+02, 1.21e+02, 1.16e+02, 1.20e-01]), array([164.  , 164.  , 162.  ,   0.49]), array([2.1e+02, 2.1e+02, 2.1e+02, 9.0e-02]), array([2.46e+02, 2.46e+02, 2.46e+02, 2.40e-01])]",[164. 164. 162.],0.49,0.997
made,sofa,8f474f3b-0628-4f20-838e-f96590b793d1,21.61,33.13,24.82,0.38,porcelain,gloss,"[array([1.11e+02, 7.30e+01, 4.00e+01, 6.00e-02]), array([176.  , 133.  ,  89.  ,   0.38]), array([192.  , 154.  , 112.  ,   0.29]), array([1.95e+02, 1.91e+02, 1.88e+02, 7.00e-02]), array([2.43e+02, 2.43e+02, 2.43e+02, 2.10e-01])]",[176. 133.  89.],0.38,0.997
made,sofa,ee9be7fd-e89a-4039-b14b-284bdb44171b,23.39,15.43,31.73,0.85,stone,matt,"[array([110.  ,  78.  ,   9.  ,   0.12]), array([139.  , 105.  ,  25.  ,   0.43]), array([179.  , 148.  ,  75.  ,   0.23]), array([1.56e+02, 1.54e+02, 1.50e+02, 9.00e-02]), array([2.32e+02, 2.31e+02, 2.28e+02, 1.20e-01])]",[139. 105.  25.],0.43,0.995
made,sofa,aeb61f04-499a-4c41-b015-f0ca2ee5dd8e,25.29,15.76,51.8,1.39,glass,gloss,"[array([33.  , 30.  , 29.  ,  0.08]), array([64.  , 60.  , 59.  ,  0.31]), array([84.  , 80.  , 79.  ,  0.16]), array([1.52e+02, 1.51e+02, 1.50e+02, 2.00e-02]), array([232.  , 232.  , 232.  ,   0.43])]",[232. 232. 232.],0.43,0.997
made,sofa,88e71dbe-6ee4-4b4e-bb60-44fbb4941cc4,27.77,14.27,19.75,0.22,terracotta,matt,"[array([65.  , 35.  , 18.  ,  0.11]), array([120. ,  80. ,  52. ,   0.3]), array([155.  , 117.  ,  82.  ,   0.28]), array([182.  , 152.  , 119.  ,   0.22]), array([2.40e+02, 2.39e+02, 2.36e+02, 9.00e-02])]",[120.  80.  52.],0.3,0.996
made,sofa,c2c66a0d-6775-4f76-88a9-ec7d2ab59bdb,36.72,15.64,31.34,0.98,terracotta,gloss,"[array([54.  , 51.  , 48.  ,  0.08]), array([1.03e+02, 1.01e+02, 1.00e+02, 6.00e-02]), array([1.69e+02, 1.68e+02, 1.66e+02, 1.60e-01]), array([228. , 228. , 228. ,   0.5]), array([2.46e+02, 2.46e+02, 2.45e+02, 2.00e-01])]",[228. 228. 228.],0.5,0.997
made,sofa,39a56454-97d2-4127-aec5-bb7889305979,24.09,21.95,43.89,1.46,ceramic,gloss,"[array([51.  , 44.  , 39.  ,  0.18]), array([9.9e+01, 9.5e+01, 9.4e+01, 9.0e-02]), array([1.46e+02, 1.51e+02, 1.58e+02, 1.00e-01]), array([217.  , 220.  , 222.  ,   0.46]), array([2.45e+02, 2.46e+02, 2.47e+02, 1.70e-01])]",[217. 220. 222.],0.46,0.998
made,sofa,ccb87f39-77b0-4dcc-b353-176f6034848b,24.04,27.26,20.82,0.69,terracotta,matt,"[array([37. , 48. , 15. ,  0.3]), array([63.  , 75.  , 39.  ,  0.34]), array([1.07e+02, 1.19e+02, 7.90e+01, 1.00e-01]), array([1.66e+02, 1.67e+02, 1.64e+02, 1.10e-01]), array([2.41e+02, 2.41e+02, 2.41e+02, 1.50e-01])]",[63. 75. 39.],0.34,0.997
made,sofa,cc427203-f0c0-41c0-8e9e-cd0f8b22931c,29.62,39.96,29.23,0.23,ceramic,gloss,"[array([33.  , 31.  , 18.  ,  0.08]), array([78.  , 81.  , 56.  ,  0.18]), array([110.  , 116.  ,  87.  ,   0.35]), array([149. , 154. , 133. ,   0.2]), array([2.42e+02, 2.42e+02, 2.41e+02, 1.80e-01])]",[110. 116.  87.],0.35,0.996
made,sofa,c1b4edba-2798-4f0e-82a2-e3574202f120,30.68,27.77,34.48,0.63,wood,matt,"[array([52. , 52. , 56. ,  0.3]), array([71. , 71. , 76. ,  0.3]), array([1.58e+02, 1.58e+02, 1.59e+02, 5.00e-02]), array([1.97e+02, 1.97e+02, 1.97e+02, 6.00e-02]), array([227.  , 227.  , 227.  ,   0.29])]",[52. 52. 56.],0.3,0.997
made,sofa,abd08b6e-02b2-4200-b9ac-44577ded270c,17.48,17.9,19.07,0.94,wood,gloss,"[array([62.  , 58.  , 56.  ,  0.37]), array([94.  , 90.  , 89.  ,  0.16]), array([1.69e+02, 1.69e+02, 1.68e+02, 8.00e-02]), array([226. , 226. , 226. ,   0.3]), array([2.46e+02, 2.46e+02, 2.46e+02, 9.00e-02])]",[62. 58. 56.],0.37,0.997
made,sofa,ff349f90-a451-4160-a005-1a94457f94a8,40.86,23.74,48.77,1.32,limestone,matt,"[array([120.  , 102.  ,  97.  ,   0.13]), array([154.  , 135.  , 129.  ,   0.42]), array([1.81e+02, 1.66e+02, 1.58e+02, 1.70e-01]), array([2.12e+02, 2.12e+02, 2.12e+02, 1.30e-01]), array([2.46e+02, 2.46e+02, 2.46e+02, 1.40e-01])]",[154. 135. 129.],0.42,0.996
made,sofa,c9e79240-98d2-4ac4-9184-f28026e65344,21.94,10.09,11.11,1.31,quartz,gloss,"[array([1.08e+02, 1.03e+02, 9.90e+01, 4.00e-02]), array([148.  , 143.  , 138.  ,   0.19]), array([2.02e+02, 1.98e+02, 1.94e+02, 5.00e-02]), array([231.  , 231.  , 231.  ,   0.56]), array([2.47e+02, 2.47e+02, 2.47e+02, 1.60e-01])]",[231. 231. 231.],0.56,0.997
made,sofa,decbcd16-4f5a-4c87-9718-45d15c6e159d,30.7,33.39,32.66,0.7,wood,matt,"[array([37.  , 29.  , 27.  ,  0.23]), array([81.  , 67.  , 62.  ,  0.16]), array([1.63e+02, 1.40e+02, 7.40e+01, 8.00e-02]), array([1.75e+02, 1.67e+02, 1.62e+02, 1.00e-01]), array([237.  , 236.  , 235.  ,   0.43])]",[237. 236. 235.],0.43,0.997
made,sofa,65167d0c-46ce-43c5-8d72-a2796f176056,44.88,20.02,19.98,0.43,limestone,matt,"[array([154.  ,  50.  ,  14.  ,   0.32]), array([195.  ,  89.  ,  52.  ,   0.24]), array([2.40e+02, 1.37e+02, 1.02e+02, 1.40e-01]), array([1.85e+02, 1.80e+02, 1.79e+02, 9.00e-02]), array([2.42e+02, 2.41e+02, 2.40e+02, 2.10e-01])]",[154.  50.  14.],0.32,0.997
